dataset,task,task_type,method,split,metric_name,metric_value,ci_lower,ci_upper,n_folds,cell_deg,feature_dim,n_samples,n_test,seed,model_name,model_target
pdfm-conus27,Percent_Person_WithArthritis,regression,linear,spatial,r2,-0.12068875487902045,-0.23009358284720555,-0.011283926910835351,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_WithChronicObstructivePulmonaryDisease,regression,linear,spatial,r2,-0.2140274317174006,-0.3757208758884194,-0.0523339875463818,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication,regression,linear,spatial,r2,0.06491739701632844,0.007914568557774095,0.12192022547488279,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_Obesity,regression,linear,spatial,r2,-0.05233350902053402,-0.17585816755239678,0.07119114951132874,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_SleepLessThan7Hours,regression,linear,spatial,r2,0.03289053311743011,-0.1279853875251159,0.19376645375997614,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Percent_Person_Smoking,regression,linear,spatial,r2,-0.10789863469622354,-0.22509403183904828,0.009296762446601187,5,10.0,4,35157,34894,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Median_Income_Household,regression,linear,spatial,r2,-0.07268243929184656,-0.17462119569911333,0.02925631711542022,5,10.0,4,35157,34835,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied,regression,linear,spatial,r2,0.005602684567533167,-0.17572015213237116,0.18692552126743747,5,10.0,4,35157,34609,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,night_lights_log10,regression,linear,spatial,r2,0.002870489312350988,-0.047778020978114476,0.053518999602816454,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,population_density_log10,regression,linear,spatial,r2,0.03604886235945959,-0.10793708347110581,0.180034808190025,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,tree_cover,regression,linear,spatial,r2,0.03947878140702958,-0.20556548972923266,0.2845230525432918,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
pdfm-conus27,elevation,regression,linear,spatial,r2,-0.029903691451672553,-0.28073374783548166,0.22092636493213658,5,10.0,4,35157,35157,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-air-temp,air_temperature,regression,linear,random,r2,0.8515120394119904,0.842166361604368,0.8608577172196128,5,10.0,4,3076,3076,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-air-temp,air_temperature,regression,linear,spatial,r2,0.8420558917830272,0.8006260528155624,0.883485730750492,5,10.0,4,3076,3076,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
california-housing,median_house_value,regression,linear,random,r2,0.24333432313033027,0.23865343991359372,0.2480152063470668,5,10.0,4,20640,20640,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
california-housing,median_house_value,regression,linear,spatial,r2,-1.2192166497744021,-1.2725431213508265,-1.1658901781979778,5,10.0,4,20640,20640,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-country,country,classification,knn5,random,accuracy,0.9677486543653119,0.9661528706104733,0.9693444381201505,5,10.0,4,33053,33053,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-country,country,classification,linear,random,accuracy,0.5328109860420227,0.5286687993577065,0.5369531727263389,5,10.0,4,33053,33053,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-country,country,classification,knn5,spatial,accuracy,0.8698352691065538,0.8439239382840482,0.8957465999290595,5,10.0,4,33053,33053,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-country,country,classification,linear,spatial,accuracy,0.5287154376506805,0.45964650678949937,0.5977843685118617,5,10.0,4,33053,33053,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-ecoregion,ecoregion_class_index,classification,knn5,random,accuracy,0.850966299331769,0.8462510665624907,0.8556815321010474,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-ecoregion,ecoregion_class_index,classification,linear,random,accuracy,0.3512711703777313,0.34774286420060146,0.35479947655486116,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-ecoregion,ecoregion_class_index,classification,knn5,spatial,accuracy,0.6473496421727407,0.6166031867090762,0.6780960976364052,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-ecoregion,ecoregion_class_index,classification,linear,spatial,accuracy,0.3375319838523865,0.27645745786768855,0.3986065098370844,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-biome,biome_class_index,classification,knn5,random,accuracy,0.9262149104377155,0.9240340738125611,0.92839574706287,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-biome,biome_class_index,classification,linear,random,accuracy,0.5846391081809997,0.5800477178471277,0.5892304985148717,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-biome,biome_class_index,classification,knn5,spatial,accuracy,0.820488335116764,0.8116901056152384,0.8292865646182896,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-biome,biome_class_index,classification,linear,spatial,accuracy,0.5562602758407593,0.5201041799732866,0.592416371708232,5,10.0,4,32798,32798,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-population,log_population,regression,linear,random,r2,0.33200476987135064,0.32808914494061714,0.33592039480208413,5,10.0,4,74512,74512,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-population,log_population,regression,linear,spatial,r2,0.2899064722621321,0.15708305043254936,0.4227298940917149,5,10.0,4,74512,74512,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-elevation,elevation,regression,linear,random,r2,0.08570775351566136,0.08241606505124693,0.08899944198007578,5,10.0,4,100000,99995,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
satclip-elevation,elevation,regression,linear,spatial,r2,0.04145793877093908,0.019715417126005563,0.0632004604158726,5,10.0,4,100000,99995,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
sustainbench-asset,asset_index,regression,linear,official,r2,0.15242753549641885,0.15242753549641885,0.15242753549641885,1,10.0,4,86936,86936,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
sustainbench-water,water_index,regression,linear,official,r2,0.07439042956458841,0.07439042956458841,0.07439042956458841,1,10.0,4,87938,87938,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
sustainbench-sanitation,sanitation_index,regression,linear,official,r2,0.13687660435526405,0.13687660435526405,0.13687660435526405,1,10.0,4,89271,89271,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
sustainbench-child_mortality,under5_mort,regression,linear,official,r2,0.005278180378120778,0.005278180378120778,0.005278180378120778,1,10.0,4,105582,105582,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
sustainbench-women_edu,women_edu,regression,linear,official,r2,0.14778187176624935,0.14778187176624935,0.14778187176624935,1,10.0,4,117062,117062,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
sustainbench-women_bmi,women_bmi,regression,linear,official,r2,0.27071101810488474,0.27071101810488474,0.27071101810488474,1,10.0,4,94866,94866,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-cropharvest,crop_type,classification,knn5,random,accuracy,0.5686111111111111,0.5491349465078242,0.5880872757143979,5,10.0,4,3600,3600,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-cropharvest,crop_type,classification,linear,random,accuracy,0.2977777898311615,0.28008703490784,0.315468544754483,5,10.0,4,3600,3600,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-cropharvest,crop_type,classification,knn5,spatial,accuracy,0.1984061326514912,0.04027037010142126,0.35654189520156115,5,10.0,4,3600,3600,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-cropharvest,crop_type,classification,linear,spatial,accuracy,0.12546052802354096,0.007079460188120876,0.24384159585896104,5,10.0,4,3600,3600,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-biomass,biomass,regression,linear,random,r2,0.0860186066576805,0.08266833423422401,0.089368879081137,5,10.0,4,18393,18393,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-biomass,biomass,regression,linear,spatial,r2,0.048684746267509,0.018157314526284184,0.07921217800873381,5,10.0,4,18393,18393,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,water,regression,linear,random,r2,0.008179577595847398,0.003103256364097847,0.013255898827596948,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,trees,regression,linear,random,r2,0.07171282305332849,0.0665076775181234,0.07691796858853357,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,grass,regression,linear,random,r2,0.023758693079855498,0.016291613845469538,0.031225772314241458,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,flooded_vegetation,regression,linear,random,r2,0.026766743960742766,0.013474912455814933,0.0400585754656706,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,crops,regression,linear,random,r2,0.019666880000892607,0.012849433600706731,0.026484326401078482,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,shrub_and_scrub,regression,linear,random,r2,0.1523449451046599,0.14450186045253846,0.16018802975678134,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,built,regression,linear,random,r2,0.017263113618479698,0.013044566828264876,0.021481660408694522,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,bare,regression,linear,random,r2,0.12352526956717398,0.11473520392414657,0.1323153352102014,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,snow_and_ice,regression,linear,random,r2,0.7254357623846737,0.719361548204741,0.7315099765646064,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,water,regression,linear,spatial,r2,0.004974171853399522,-0.0023246661535123916,0.012273009860311436,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,trees,regression,linear,spatial,r2,0.045977780666300164,0.016289931024815164,0.07566563030778517,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,grass,regression,linear,spatial,r2,0.015689326656814374,0.008270056726620095,0.023108596587008652,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,flooded_vegetation,regression,linear,spatial,r2,0.02071322830137845,0.0013390268003841237,0.04008742980237277,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,crops,regression,linear,spatial,r2,0.008371556114442513,-0.003584576322208405,0.02032768855109343,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,shrub_and_scrub,regression,linear,spatial,r2,0.11891091686778976,0.012092475401567049,0.22572935833401248,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,built,regression,linear,spatial,r2,0.006144019250222299,-0.0011079965407046503,0.013396035041149248,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,bare,regression,linear,spatial,r2,0.08136325432773132,0.024210905642196308,0.13851560301326635,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-landcover,snow_and_ice,regression,linear,spatial,r2,0.7059588335469333,0.645825782601176,0.7660918844926907,5,10.0,4,10000,10000,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_01,regression,linear,random,r2,0.8862511130716321,0.883031005020918,0.8894712211223461,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_02,regression,linear,random,r2,0.20734897019960155,0.1956597828530825,0.2190381575461206,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_03,regression,linear,random,r2,0.7927625604935753,0.7873907069978034,0.7981344139893471,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_04,regression,linear,random,r2,0.8064739823460927,0.8013599965142114,0.811587968177974,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_05,regression,linear,random,r2,0.6333397621115964,0.6181368572538698,0.648542666969323,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_06,regression,linear,random,r2,0.864659069934057,0.8599902690947787,0.8693278707733352,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_07,regression,linear,random,r2,0.666662293569881,0.6590323439520048,0.6742922431877573,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_08,regression,linear,random,r2,0.5425663604570572,0.5256993925813467,0.5594333283327677,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_09,regression,linear,random,r2,0.7816368576561802,0.7757090565704332,0.7875646587419272,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_10,regression,linear,random,r2,0.6949145607530323,0.6815221599724536,0.708306961533611,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_11,regression,linear,random,r2,0.8980897481779309,0.8948718953656543,0.9013076009902075,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_12,regression,linear,random,r2,0.203914756168611,0.19470645528403333,0.21312305705318865,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_13,regression,linear,random,r2,0.2234355405513452,0.2107793499173485,0.2360917311853419,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_14,regression,linear,random,r2,0.07867194442727951,0.06597743405490723,0.09136645479965179,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_15,regression,linear,random,r2,0.23122666352311363,0.2141928866120672,0.24826044043416007,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_16,regression,linear,random,r2,0.2216111161032856,0.2107178303211866,0.2325044018853846,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_17,regression,linear,random,r2,0.08713251656790347,0.07361460864811645,0.10065042448769049,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_18,regression,linear,random,r2,0.12628572466247825,0.12015180510872422,0.13241964421623229,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_19,regression,linear,random,r2,0.10722479875115173,0.09223250427438101,0.12221709322792246,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_01,regression,linear,spatial,r2,0.8781155127522673,0.8370932962054893,0.9191377292990452,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_02,regression,linear,spatial,r2,0.18293402263458303,0.13550984921607917,0.23035819605308688,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_03,regression,linear,spatial,r2,0.7709184453329408,0.7497554607882326,0.7920814298776491,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_04,regression,linear,spatial,r2,0.7895908953228821,0.7602764660020361,0.818905324643728,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_05,regression,linear,spatial,r2,0.6169452228616173,0.550810268824425,0.6830801768988097,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_06,regression,linear,spatial,r2,0.8524217766264514,0.8142863103783298,0.8905572428745729,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
bt-bioclim,bioclim_07,regression,linear,spatial,r2,0.6424330462685649,0.5946779453389954,0.6901881471981344,5,10.0,4,9681,9681,0,sincos,torchgeo_bench.coordbench.models.SinCosLocationEncoder
