dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
burn_scars,seg-conv_block,mIoU,0.8191184401512146,0.0,0.0,2816,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.9001404047012329,0.9182456731796264,0.862341046333313,0.8864547610282898,,,,,,,,
pastis,seg-linear,mIoU,0.0682045221328735,0.0,0.0,1440,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.301186591386795,0.1400759667158126,0.1070294007658958,0.1057287380099296,,,,,,,,
flair2,seg-conv_block,mIoU,0.4704436957836151,0.0,0.0,960,,0.001,12,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5263941287994385,0.6567440032958984,0.6199440956115723,0.6159107685089111,,,,,,,,
pastis,seg-conv_block,mIoU,0.0913552939891815,0.0,0.0,2816,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3389207422733307,0.2050003856420517,0.1369523555040359,0.1417610496282577,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.4936793446540832,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.6472275257110596,0.7148985266685486,0.6010973453521729,0.623054563999176,,,,,,,,
kuro_siwo,seg-dpt,mIoU,0.5335089564323425,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.9169445037841796,0.7884063720703125,0.5908545851707458,0.6591449975967407,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.2762503027915954,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3907938003540039,0.5125187635421753,0.3811109662055969,0.3941015601158142,,,,,,,,
pastis,seg-linear,mIoU,0.0285891573876142,0.0,0.0,616,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.1814286112785339,0.0770784541964531,0.0574888810515403,0.0443992279469966,,,,,,,,
kuro_siwo,seg-linear,mIoU,0.4855771064758301,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.9040022492408752,0.7719879150390625,0.532442569732666,0.6060222387313843,,,,,,,,
kuro_siwo,seg-linear,mIoU,0.3067477643489837,0.0,0.0,1920,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.8785026669502258,0.4546790719032287,0.340448796749115,0.3611397743225097,,,,,,,,
cloudsen12,seg-linear,mIoU,0.571353554725647,0.0,0.0,1920,,0.001,8,4000,535,975,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7101049423217773,0.7334103584289551,0.6811778545379639,0.7022638320922852,,,,,,,,
caffe,seg-fpn,mIoU,0.5394595861434937,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5552033185958862,0.7070953249931335,0.6689063310623169,0.6684885621070862,,,,,,,,
flair2,seg-conv_block,mIoU,0.4395304024219513,0.0,0.0,1440,,0.001,16,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.4970212280750274,0.6220803260803223,0.5970971584320068,0.589999794960022,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6663469076156616,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7830734848976135,0.80655837059021,0.7693305015563965,0.7857520580291748,,,,,,,,
burn_scars,seg-conv_block,mIoU,0.8848304152488708,0.0,0.0,3840,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.9404769539833068,0.9524661302566528,0.9197925329208374,0.934801459312439,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.2367137968540191,0.0,0.0,1440,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3516984581947326,0.5001702308654785,0.3326554298400879,0.3457950949668884,,,,,,,,
fotw,seg-linear,mIoU,0.5495070815086365,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.7222385406494141,0.6989443898200989,0.6345893740653992,0.6362265944480896,,,,,,,,
flair2,seg-fpn,mIoU,0.5293189287185669,0.0,0.0,2880,,0.001,8,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.5653659105300903,0.7030043005943298,0.6740398406982422,0.6726131439208984,,,,,,,,
cloudsen12,seg-linear,mIoU,0.6090760231018066,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7397701740264893,0.7691327333450317,0.7157074213027954,0.7376739382743835,,,,,,,,
kuro_siwo,seg-fpn,mIoU,0.0032543474808335,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.0001694524544291,0.0032543472480028,0.25,0.0064250570721924,,,,,,,,
pastis,seg-fpn,mIoU,0.0902463197708129,0.0,0.0,960,,0.001,12,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3307733535766601,0.1904548108577728,0.1357055157423019,0.1415898352861404,,,,,,,,
kuro_siwo,seg-conv_block,mIoU,0.5288516283035278,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.9154533743858336,0.7769384384155273,0.5880314111709595,0.6555086374282837,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.2369356304407119,0.0,0.0,1440,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3584386706352234,0.5035483837127686,0.332392543554306,0.3436788320541382,,,,,,,,
pastis,seg-linear,mIoU,0.1111529916524887,0.0,0.0,2880,,0.001,8,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3553462922573089,0.2227333188056945,0.1656536161899566,0.1728541105985641,,,,,,,,
caffe,seg-linear,mIoU,0.5392773151397705,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5813554525375366,0.687556266784668,0.6594821810722351,0.662827730178833,,,,,,,,
fotw,seg-dpt,mIoU,0.5701849460601807,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7534143328666687,0.7067618370056152,0.6478617191314697,0.647924542427063,,,,,,,,
burn_scars,seg-fpn,mIoU,0.8185902237892151,0.0,0.0,2880,,0.001,8,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.9052172899246216,0.9247127771377563,0.8625984191894531,0.8880767822265625,,,,,,,,
pastis,seg-fpn,mIoU,0.0847947970032692,0.0,0.0,1440,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3280307054519653,0.172032743692398,0.1278420388698578,0.132390558719635,,,,,,,,
kuro_siwo,seg-fpn,mIoU,0.0032543474808335,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.0001694524544291,0.0032543472480028,0.25,0.0064250570721924,,,,,,,,
pastis,seg-conv_block,mIoU,0.1012391224503517,0.0,0.0,1440,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3426459431648254,0.2258608490228653,0.1495261788368225,0.1584784090518951,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.2772944271564483,0.0,0.0,1440,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3970907032489776,0.5116583108901978,0.3741797208786011,0.4036850035190582,,,,,,,,
pastis,seg-linear,mIoU,0.0665589123964309,0.0,0.0,960,,0.001,12,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.2890112400054931,0.1508167684078216,0.1037802174687385,0.1046986654400825,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.3234685659408569,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.4298626780509949,0.5441659688949585,0.4330639839172363,0.4589482843875885,,,,,,,,
pastis,seg-dpt,mIoU,0.074735403060913,0.0,0.0,1440,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3179596066474914,0.172918438911438,0.1161187589168548,0.1151610612869262,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6023961901664734,0.0,0.0,1920,,0.001,8,4000,535,975,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7352043986320496,0.7575068473815918,0.7092770934104919,0.7290607690811157,,,,,,,,
burn_scars,seg-fpn,mIoU,0.8848512768745422,0.0,0.0,3840,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.9399976134300232,0.9464470148086548,0.9245392084121704,0.9348557591438292,,,,,,,,
caffe,seg-dpt,mIoU,0.5383355617523193,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.5475343465805054,0.7099078893661499,0.6661043167114258,0.6668280363082886,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.5540988445281982,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.6896993517875671,0.7501764297485352,0.6713341474533081,0.6853182315826416,,,,,,,,
pastis,seg-fpn,mIoU,0.0979788526892662,0.0,0.0,3840,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3390953242778778,0.1781552135944366,0.1470982283353805,0.153313860297203,,,,,,,,
caffe,seg-dpt,mIoU,0.0528077334165573,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.044618509709835,0.0528077334165573,0.25,0.0871968045830726,,,,,,,,
flair2,seg-fpn,mIoU,0.4615325927734375,0.0,0.0,1440,,0.001,16,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.5151183605194092,0.6473365426063538,0.6088941693305969,0.610261857509613,,,,,,,,
flair2,seg-fpn,mIoU,0.4782730638980865,0.0,0.0,960,,0.001,12,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5371790528297424,0.6616112589836121,0.627464771270752,0.62271648645401,,,,,,,,
fotw,seg-dpt,mIoU,0.570084810256958,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.7544963955879211,0.71703040599823,0.6470496654510498,0.6470890045166016,,,,,,,,
pastis,seg-dpt,mIoU,0.0886963978409767,0.0,0.0,2880,,0.001,8,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3367054164409637,0.2019051313400268,0.1342298537492752,0.138147696852684,,,,,,,,
pastis,seg-fpn,mIoU,0.0739331096410751,0.0,0.0,616,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3149026930332184,0.1405863165855407,0.1155526861548423,0.1137798205018043,,,,,,,,
kuro_siwo,seg-dpt,mIoU,0.5280196070671082,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.913648009300232,0.7857604026794434,0.5822272300720215,0.6565811038017273,,,,,,,,
fotw,seg-linear,mIoU,0.176969513297081,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3784317970275879,0.3534064292907715,0.2758227884769439,0.2373811304569244,,,,,,,,
fotw,seg-fpn,mIoU,0.5881085395812988,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.7667744159698486,0.7377192378044128,0.6624798774719238,0.6630550622940063,,,,,,,,
kuro_siwo,seg-dpt,mIoU,0.5045140981674194,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.9104226231575012,0.7604624032974243,0.5609250068664551,0.6315784454345703,,,,,,,,
pastis,seg-dpt,mIoU,0.0986289456486702,0.0,0.0,1440,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3405562043190002,0.2143276035785675,0.1475343257188797,0.1550866365432739,,,,,,,,
kuro_siwo,seg-fpn,mIoU,0.4645407199859619,0.0,0.0,3840,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.8983666896820068,0.6770164966583252,0.5285946130752563,0.5840466618537903,,,,,,,,
pastis,seg-conv_block,mIoU,0.0998481959104538,0.0,0.0,3840,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3450971245765686,0.1963609606027603,0.1483438611030578,0.1561591029167175,,,,,,,,
kuro_siwo,seg-fpn,mIoU,0.541556715965271,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.916923999786377,0.7744097709655762,0.6067513227462769,0.671775221824646,,,,,,,,
pastis,seg-linear,mIoU,0.0362828113138675,0.0,0.0,616,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.2267811894416809,0.0756413713097572,0.0672747418284416,0.0544350482523441,,,,,,,,
kuro_siwo,seg-conv_block,mIoU,0.5341176390647888,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.9157986640930176,0.7943547964096069,0.5887036323547363,0.6619478464126587,,,,,,,,
flair2,seg-dpt,mIoU,0.4528669416904449,0.0,0.0,616,,0.001,16,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.512475311756134,0.6329351663589478,0.6031144857406616,0.5990557074546814,,,,,,,,
burn_scars,seg-linear,mIoU,0.8760678172111511,0.0,0.0,2880,,0.001,8,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.9373999834060668,0.9405632019042968,0.9203445911407472,0.9297436475753784,,,,,,,,
burn_scars,seg-dpt,mIoU,0.8080401420593262,0.0,0.0,2816,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.8977961540222168,0.9163690209388732,0.8539578318595886,0.8790950775146484,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.5307945013046265,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.6760041117668152,0.7454643249511719,0.6421188116073608,0.6611043214797974,,,,,,,,
burn_scars,seg-conv_block,mIoU,0.3530015647411346,0.0,0.0,616,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.8065699338912964,0.5702964663505554,0.3887733221054077,0.4089748859405517,,,,,,,,
cloudsen12,seg-linear,mIoU,0.6164494752883911,0.0,0.0,3840,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7439450025558472,0.7656924724578857,0.7301957607269287,0.7448554039001465,,,,,,,,
cloudsen12,seg-linear,mIoU,0.6305438280105591,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7541410326957703,0.7841317653656006,0.7375031113624573,0.7573020458221436,,,,,,,,
caffe,seg-fpn,mIoU,0.5355432033538818,0.0,0.0,1440,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5612924098968506,0.7001247406005859,0.6599248051643372,0.6624735593795776,,,,,,,,
burn_scars,seg-conv_block,mIoU,0.8279263377189636,0.0,0.0,616,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.9147717356681824,0.9421279430389404,0.8616953492164612,0.8973301649093628,,,,,,,,
burn_scars,seg-conv_block,mIoU,0.8858864903450012,0.0,0.0,2816,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.9397289156913756,0.95625901222229,0.9166194200515748,0.935139775276184,,,,,,,,
kuro_siwo,seg-linear,mIoU,0.2382109016180038,0.0,0.0,1920,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.8448829650878906,0.6501007080078125,0.2584408521652221,0.2557811737060547,,,,,,,,
pastis,seg-fpn,mIoU,0.0975908190011978,0.0,0.0,1920,,0.001,8,1455,482,496,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3401896953582763,0.1996211111545562,0.1487445533275604,0.1511936485767364,,,,,,,,
