dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1
m-so2sat,linear,accuracy,0.5953346855983773,0.5648833870887756,0.6278397306799889,768,0.000615848211066,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4421906693711968,0.4127282038331031,0.477839756757021,1024,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.652129817444219,0.6226673260331154,0.6825811490416527,1024,0.0018329807108324,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.460446247464503,0.4299949184060097,0.4898833565413952,1024,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6572008113590264,0.6236815586686134,0.6906947135925293,1024,0.0018329807108324,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4817444219066937,0.447236306220293,0.5081135630607605,1024,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6764705882352942,0.6470334887504577,0.7069218993186951,1024,0.0483293023857175,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4716024340770791,0.4431795246899128,0.5030679345130921,1024,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6673427991886409,0.6338235273957252,0.6977687478065491,1024,0.0054555947811685,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.422920892494929,0.3853955268859863,0.4513438269495964,1024,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6531440162271805,0.6196754574775696,0.6866379022598267,1024,0.1438449888287662,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4249492900608519,0.3954868152737617,0.4554766736924648,1024,,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6308316430020284,0.5973123461008072,0.6622971534729004,1024,0.0054555947811685,,,19992,986,986,0,src.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4269776876267748,0.3975659310817718,0.4523580007255077,192,,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.5983772819472617,0.5679006114602089,0.6298174262046814,192,0.0483293023857175,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.3823529411764705,0.3488843739032745,0.4108772829174996,192,,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.579107505070994,0.548605491220951,0.6116126030683517,192,0.0018329807108324,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_tiny_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4239350912778905,0.3955375254154205,0.4564148120582104,384,,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6044624746450304,0.5760141760110855,0.633874237537384,384,0.0162377673918872,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.396551724137931,0.3721602395176887,0.4269776940345764,384,,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6085192697768763,0.5841277971863746,0.6379817590117455,384,0.0162377673918872,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_small_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4107505070993915,0.3842799045145512,0.4421906769275665,768,,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6125760649087221,0.5862069129943848,0.642013156414032,768,0.0162377673918872,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_avg,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,knn5,accuracy,0.4016227180527383,0.3671146102249622,0.4320740334689617,768,,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-so2sat,linear,accuracy,0.6044624746450304,0.580070985853672,0.6339503020048142,768,0.0162377673918872,,,19992,986,986,0,src.models.TimmPatchBenchModel,deit_base_patch16_224_cls,mean_stdev,224,bilinear,default,,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4582994666044066,0.44087085127830505,0.4741734564304352,192,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.5808935782418727,0.5637526512145996,0.596514880657196,192,0.04832930238571752,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.45752889421190324,0.43742477893829346,0.4757753610610962,192,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.5940247357813666,0.57732754945755,0.6095969080924988,192,0.0018329807108324338,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4830091770533207,0.46413812041282654,0.5014640688896179,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.62341368888914,0.6074545979499817,0.6398289799690247,384,0.04832930238571752,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.48962477841218655,0.4736608862876892,0.5064114928245544,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6450936939520796,0.6289885640144348,0.6612424850463867,384,0.005455594781168515,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4847471144473825,0.46635112166404724,0.5026931166648865,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6499258487129751,0.6339147686958313,0.6663981080055237,768,0.04832930238571752,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4791480337255288,0.4619443118572235,0.497096449136734,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6488288862459028,0.6331527829170227,0.6671906113624573,768,0.005455594781168515,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.5191263939862077,0.5006386041641235,0.5354893803596497,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6825875396451261,0.6689821481704712,0.696967363357544,1024,0.01623776739188721,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.5380537509567034,0.5182092785835266,0.5572658777236938,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6849962891169111,0.668619692325592,0.7033055424690247,1024,0.0018329807108324338,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.583557070883433,0.5669528245925903,0.6003715395927429,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.7094702269648581,0.6956433653831482,0.7247042059898376,1024,1.2742749857031321,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.5911730269104061,0.5750903487205505,0.6062598824501038,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.7195779763294216,0.7051266431808472,0.7336856722831726,1024,0.14384498882876628,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.6248910483530994,0.6081863045692444,0.6404684782028198,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.7414556480575926,0.7289383411407471,0.7563132047653198,1024,3.792690190732246,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.6275062561136312,0.6112163066864014,0.6431098580360413,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.741409860009867,0.7280738949775696,0.7567482590675354,1024,0.04832930238571752,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4430298403280644,0.4226924180984497,0.4603942334651947,192,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.5485198533289339,0.5322793126106262,0.5647449493408203,192,0.14384498882876628,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4233507459058673,0.4039143919944763,0.44407299160957336,192,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.5626685385696204,0.5462057590484619,0.5782716870307922,192,0.01623776739188721,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_tiny_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.49915242664122544,0.48208901286125183,0.5180173516273499,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_small_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6127523268549078,0.5960939526557922,0.6289322972297668,384,0.04832930238571752,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_small_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.4458547340224952,0.4300200641155243,0.46252739429473877,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_small_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6065800647820803,0.5909641981124878,0.6222856640815735,384,0.01623776739188721,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_small_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.500839041107091,0.4849283993244171,0.5199548602104187,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.656502139559203,0.639296293258667,0.6707647442817688,768,0.01623776739188721,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224_avg,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,knn5,micro_mAP,0.46995597843466086,0.4514366090297699,0.49085733294487,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
m-bigearthnet,linear,micro_mAP,0.6483540056212661,0.630983829498291,0.6646131873130798,768,0.01623776739188721,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,deit_base_patch16_224_cls,raw,224,bilinear,default,rgb,-7,2,20,True,200,,,,
