model,model_config,dataset,bands,variant,epochs,lr,lr_scheduler,probe_batch_size,test_miou,test_fw_iou,test_precision,test_recall,test_f1,best_val_epoch,best_val_miou,final_val_miou,drop_from_best_val,baseline_test_miou,delta_vs_baseline,baseline_final_val_miou,delta_vs_baseline_final_val
convnext_large_dinov3,timm/convnext_large_dinov3,cloudsen12,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.6584055423736572,0.7737116813659668,0.789818286895752,0.7711247205734253,0.779804527759552,18,0.6852,0.6804,0.0048000000000000265,0.6643866896629333,-0.005981147289276123,0.6837,-0.0032999999999999696
convnext_large_dinov3,timm/convnext_large_dinov3,cloudsen12,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.6531204581260681,0.7707002758979797,0.7892812490463257,0.7637292146682739,0.7752431035041809,22,0.6834,0.6729,0.010499999999999954,0.6643866896629333,-0.011266231536865234,0.6837,-0.01079999999999992
convnext_large_dinov3,timm/convnext_large_dinov3,dynamic_earthnet,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.331862211227417,0.4405878782272339,0.5688928961753845,0.4410641491413116,0.4686592221260071,10,0.343,0.343,0.0,0.331862211227417,0.0,0.343,0.0
convnext_large_dinov3,timm/convnext_large_dinov3,dynamic_earthnet,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.3260615468025207,0.4495216012001037,0.5785399675369263,0.426006942987442,0.4581853747367859,10,0.3346,0.3145,0.020100000000000007,0.331862211227417,-0.005800664424896296,0.343,-0.028500000000000025
convnext_large_dinov3,timm/convnext_large_dinov3,dynamic_earthnet,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.3368237614631653,0.4538514018058777,0.580208420753479,0.4381187856197357,0.4705527126789093,10,0.3402,0.3187,0.02150000000000002,0.331862211227417,0.004961550235748291,0.343,-0.024300000000000044
convnext_large_dinov3,timm/convnext_large_dinov3,dynamic_earthnet,rgb,constant_30ep_1e-3,30,0.001,none,8,0.3096651434898376,0.4362151026725769,0.5576918125152588,0.4215155839920044,0.438095211982727,10,0.3383,0.3228,0.015500000000000014,0.331862211227417,-0.0221970677375794,0.343,-0.02020000000000005
convnext_large_dinov3,timm/convnext_large_dinov3,dynamic_earthnet,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.3292453289031982,0.4457194805145263,0.5778950452804565,0.4301077425479889,0.4615342617034912,15,0.3435,0.3198,0.023700000000000054,0.331862211227417,-0.0026168823242188055,0.343,-0.023200000000000054
convnext_large_dinov3,timm/convnext_large_dinov3,dynamic_earthnet,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.3105401396751404,0.43141770362854,0.5559329986572266,0.4200094938278198,0.4436264038085937,21,0.3443,0.3193,0.025000000000000022,0.331862211227417,-0.02132207155227661,0.343,-0.023700000000000054
convnext_large_dinov3,timm/convnext_large_dinov3,pastis,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.1227815821766853,0.3757569789886474,0.2282695323228836,0.1814128011465072,0.1898925155401229,9,0.12,0.1185,0.0015000000000000013,0.1227815821766853,0.0,0.1185,0.0
convnext_large_dinov3,timm/convnext_large_dinov3,pastis,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.1211763769388198,0.3705980479717254,0.2170060873031616,0.1800035536289215,0.1888799667358398,12,0.1197,0.1158,0.0039000000000000007,0.1227815821766853,-0.0016052052378655035,0.1185,-0.002699999999999994
convnext_large_dinov3,timm/convnext_large_dinov3,pastis,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.1191548258066177,0.3701480329036712,0.2117090225219726,0.1775750070810318,0.1857704520225525,9,0.1191,0.1164,0.002699999999999994,0.1227815821766853,-0.0036267563700676103,0.1185,-0.0020999999999999908
convnext_large_dinov3,timm/convnext_large_dinov3,pastis,rgb,constant_30ep_1e-3,30,0.001,none,8,0.1135765612125396,0.356900155544281,0.1977327764034271,0.1748461425304412,0.1771491318941116,9,0.1186,0.1085,0.010099999999999998,0.1227815821766853,-0.009205020964145702,0.1185,-0.009999999999999995
convnext_large_dinov3,timm/convnext_large_dinov3,pastis,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.1183789297938346,0.3689319789409637,0.2077399343252182,0.1773183196783065,0.1847422271966934,9,0.1197,0.1139,0.0058,0.1227815821766853,-0.0044026523828507025,0.1185,-0.004599999999999993
convnext_large_dinov3,timm/convnext_large_dinov3,pastis,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.1122075319290161,0.3579165041446686,0.2018301486968994,0.1679327487945556,0.1756319105625152,9,0.1187,0.1095,0.0092,0.1227815821766853,-0.010574050247669206,0.1185,-0.008999999999999994
densenet121,timm/densenet121,burn_scars,all,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.883628249168396,0.9391257762908936,0.9502236843109132,0.9197382926940918,0.9338996410369872,8,0.862356,0.859294,0.003062000000000009,0.883628249168396,0.0,0.859294,0.0
densenet121,timm/densenet121,burn_scars,all,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.8918589949607849,0.9423343539237976,0.9553670883178712,0.924181580543518,0.938859522342682,20,0.875421,0.871386,0.004035000000000011,0.883628249168396,0.008230745792388916,0.859294,0.012091999999999992
densenet121,timm/densenet121,burn_scars,all,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.8909584879875183,0.9418878555297852,0.9514414668083192,0.9265092611312866,0.9383842349052428,20,0.874029,0.869774,0.004254999999999898,0.883628249168396,0.0073302388191223145,0.859294,0.010480000000000045
densenet121,timm/densenet121,burn_scars,all,constant_30ep_1e-3,30,0.001,none,8,0.8850763440132141,0.938547432422638,0.9451843500137328,0.9248348474502563,0.934746026992798,27,0.873125,0.86758,0.005545000000000022,0.883628249168396,0.0014480948448181152,0.859294,0.008286000000000016
densenet121,timm/densenet121,burn_scars,all,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.8816443681716919,0.9368115663528442,0.9441925287246704,0.921692967414856,0.9324675798416138,20,0.862105,0.855969,0.00613600000000003,0.883628249168396,-0.0019838809967041016,0.859294,-0.0033250000000000224
densenet121,timm/densenet121,burn_scars,all,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.8925162553787231,0.9426734447479248,0.9528915882110596,0.9270398616790771,0.9393473863601683,20,0.876757,0.874218,0.002538999999999958,0.883628249168396,0.008888006210327148,0.859294,0.014924000000000048
densenet121,timm/densenet121,cloudsen12,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.6427465081214905,0.760617196559906,0.7822574377059937,0.7558410167694092,0.7675367593765259,8,0.664891,0.663811,0.0010799999999999699,0.6427465081214905,0.0,0.663811,0.0
densenet121,timm/densenet121,cloudsen12,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.6366816759109497,0.7575712203979492,0.7730207443237305,0.7527611255645752,0.7618013620376587,13,0.663935,0.656672,0.0072630000000000194,0.6427465081214905,-0.0060648322105407715,0.663811,-0.0071390000000000065
densenet121,timm/densenet121,cloudsen12,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.6376001834869385,0.7572252154350281,0.7700221538543701,0.7568910121917725,0.7628090381622314,13,0.663325,0.657537,0.005788000000000015,0.6427465081214905,-0.005146324634552002,0.663811,-0.006274000000000002
densenet121,timm/densenet121,cloudsen12,rgb,constant_30ep_1e-3,30,0.001,none,8,0.6341564059257507,0.7556356191635132,0.7698565721511841,0.7502801418304443,0.7594778537750244,13,0.659333,0.65189,0.007442999999999977,0.6427465081214905,-0.008590102195739746,0.663811,-0.01192100000000007
densenet121,timm/densenet121,cloudsen12,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.6324023008346558,0.7544934749603271,0.7652763724327087,0.7513906955718994,0.7577282190322876,26,0.662004,0.657295,0.004709000000000074,0.6427465081214905,-0.010344207286834717,0.663811,-0.006516000000000077
densenet121,timm/densenet121,cloudsen12,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.6347523331642151,0.7573873996734619,0.7731415629386902,0.7486549615859985,0.7596228122711182,13,0.660461,0.653832,0.006628999999999996,0.6427465081214905,-0.00799417495727539,0.663811,-0.009979000000000071
densenet121,timm/densenet121,dynamic_earthnet,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.2906713783740997,0.4223577380180359,0.4899250566959381,0.3972188532352447,0.421661227941513,2,0.306096,0.266341,0.039754999999999985,0.2906713783740997,0.0,0.266341,0.0
densenet121,timm/densenet121,dynamic_earthnet,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.2763339579105377,0.4163734018802643,0.5056792497634888,0.376749187707901,0.4023624360561371,4,0.302492,0.291332,0.011160000000000003,0.2906713783740997,-0.014337420463561956,0.266341,0.024990999999999985
densenet121,timm/densenet121,dynamic_earthnet,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.2789230942726135,0.4149153232574463,0.4933492541313171,0.38134765625,0.4064472317695617,2,0.305754,0.255856,0.04989800000000005,0.2906713783740997,-0.01174828410148615,0.266341,-0.010485000000000022
densenet121,timm/densenet121,dynamic_earthnet,rgb,constant_30ep_1e-3,30,0.001,none,8,0.2747155129909515,0.3982436060905456,0.4909547567367553,0.3814079761505127,0.4017916917800903,2,0.30607,0.25593,0.05014000000000002,0.2906713783740997,-0.015955865383148193,0.266341,-0.010411000000000004
densenet121,timm/densenet121,dynamic_earthnet,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.2821879088878631,0.4131894409656524,0.4850637316703796,0.3879563510417938,0.4120078086853027,4,0.302366,0.250921,0.05144500000000002,0.2906713783740997,-0.008483469486236572,0.266341,-0.01541999999999999
densenet121,timm/densenet121,dynamic_earthnet,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.270210325717926,0.413798987865448,0.4972936809062958,0.3729065954685211,0.3941542506217956,2,0.305951,0.250252,0.055699,0.2906713783740997,-0.02046105265617365,0.266341,-0.01608900000000002
densenet121,timm/densenet121,pastis,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.1147834360599517,0.3595250248908996,0.2205086648464203,0.1704430133104324,0.1792618930339813,10,0.108156,0.108156,0.0,0.1147834360599517,0.0,0.108156,0.0
densenet121,timm/densenet121,pastis,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.1089378893375396,0.3523138463497162,0.2009825110435485,0.1623119264841079,0.1703685373067855,11,0.10873,0.103914,0.004815999999999987,0.1147834360599517,-0.0058455467224120955,0.108156,-0.004241999999999996
densenet121,timm/densenet121,pastis,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.1090182512998581,0.3494135737419128,0.2021553218364715,0.1628763675689697,0.1715496480464935,10,0.106961,0.103228,0.003733,0.1147834360599517,-0.005765184760093606,0.108156,-0.004928000000000002
densenet121,timm/densenet121,pastis,rgb,constant_30ep_1e-3,30,0.001,none,8,0.1080793812870979,0.3404147028923034,0.1946974098682403,0.1648746132850647,0.1711903512477874,10,0.105784,0.100307,0.00547700000000001,0.1147834360599517,-0.006704054772853796,0.108156,-0.007849000000000009
densenet121,timm/densenet121,pastis,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.1081746220588684,0.3477726578712463,0.1966338008642196,0.1623873710632324,0.17050102353096,13,0.10962,0.103075,0.006544999999999995,0.1147834360599517,-0.006608814001083305,0.108156,-0.005081000000000002
densenet121,timm/densenet121,pastis,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.1035772264003753,0.3356695175170898,0.2004569768905639,0.1536329984664917,0.1644118875265121,10,0.106734,0.097719,0.009014999999999995,0.1147834360599517,-0.011206209659576402,0.108156,-0.010437000000000002
efficientnet_b0,timm/efficientnet_b0,burn_scars,all,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.820570707321167,0.9107465744018556,0.8999928832054138,0.8910953998565674,0.8946788907051086,8,0.84643,0.832869,0.013561000000000045,0.820570707321167,0.0,0.832869,0.0
efficientnet_b0,timm/efficientnet_b0,burn_scars,all,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.8407593965530396,0.9143065810203552,0.9158036708831788,0.8951041102409363,0.9052101373672484,24,0.849528,0.795656,0.05387199999999992,0.820570707321167,0.02018868923187256,0.832869,-0.03721299999999994
efficientnet_b0,timm/efficientnet_b0,burn_scars,all,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.785735547542572,0.8929386734962463,0.837099015712738,0.912350296974182,0.8714856505393982,4,0.836025,0.705963,0.130062,0.820570707321167,-0.03483515977859497,0.832869,-0.12690599999999996
efficientnet_b0,timm/efficientnet_b0,burn_scars,all,constant_30ep_1e-3,30,0.001,none,8,0.8016427755355835,0.8894214034080505,0.8491517901420593,0.9191651344299316,0.8798192143440247,4,0.83571,0.734066,0.10164399999999996,0.820570707321167,-0.018927931785583496,0.832869,-0.09880299999999997
efficientnet_b0,timm/efficientnet_b0,burn_scars,all,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.7722479701042175,0.8808567523956299,0.8212572932243347,0.9126620292663574,0.8613396883010864,10,0.822457,0.716172,0.10628499999999996,0.820570707321167,-0.04832273721694946,0.832869,-0.11669699999999994
efficientnet_b0,timm/efficientnet_b0,burn_scars,all,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.7097228169441223,0.8677725195884705,0.7519223690032959,0.92904531955719,0.8213260769844055,4,0.836095,0.642411,0.19368400000000008,0.820570707321167,-0.11084789037704468,0.832869,-0.19045800000000002
efficientnet_b0,timm/efficientnet_b0,cloudsen12,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.5020656585693359,0.6528111696243286,0.7268943786621094,0.6179153919219971,0.6322669982910156,6,0.581926,0.518583,0.06334300000000004,0.5020656585693359,0.0,0.518583,0.0
efficientnet_b0,timm/efficientnet_b0,cloudsen12,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.5424298048019409,0.6818839311599731,0.7416563034057617,0.6605457067489624,0.6748453974723816,21,0.597215,0.563969,0.033246,0.5020656585693359,0.04036414623260498,0.518583,0.04538600000000004
efficientnet_b0,timm/efficientnet_b0,cloudsen12,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.5506635308265686,0.6891882419586182,0.7487156391143799,0.6573721170425415,0.683352530002594,21,0.590655,0.564438,0.026217000000000046,0.5020656585693359,0.048597872257232666,0.518583,0.04585499999999998
efficientnet_b0,timm/efficientnet_b0,cloudsen12,rgb,constant_30ep_1e-3,30,0.001,none,8,0.5203365087509155,0.6708119511604309,0.7538783550262451,0.6202970147132874,0.6485418081283569,15,0.584676,0.534864,0.04981199999999997,0.5020656585693359,0.01827085018157959,0.518583,0.01628099999999999
efficientnet_b0,timm/efficientnet_b0,cloudsen12,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.5308691263198853,0.6785213351249695,0.7606061100959778,0.6257215738296509,0.6632728576660156,21,0.571177,0.546143,0.025034,0.5020656585693359,0.028803467750549316,0.518583,0.02756000000000003
efficientnet_b0,timm/efficientnet_b0,cloudsen12,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.5552993416786194,0.6945672035217285,0.769849419593811,0.6546398401260376,0.6875192523002625,21,0.583025,0.573063,0.009962000000000026,0.5020656585693359,0.05323368310928345,0.518583,0.05447999999999997
efficientnet_b0,timm/efficientnet_b0,dynamic_earthnet,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.2628599405288696,0.374265968799591,0.4654450416564941,0.4067955017089844,0.3952106237411499,2,0.287286,0.247501,0.03978499999999999,0.2628599405288696,0.0,0.247501,0.0
efficientnet_b0,timm/efficientnet_b0,dynamic_earthnet,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.251398503780365,0.379354327917099,0.4857220947742462,0.3899458646774292,0.3751658797264099,2,0.260953,0.247381,0.013572,0.2628599405288696,-0.011461436748504583,0.247501,-0.00012000000000000899
efficientnet_b0,timm/efficientnet_b0,dynamic_earthnet,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.2709809839725494,0.382506251335144,0.4701060056686401,0.416014552116394,0.406047910451889,2,0.28691,0.267143,0.01976699999999998,0.2628599405288696,0.00812104344367981,0.247501,0.01964200000000002
efficientnet_b0,timm/efficientnet_b0,dynamic_earthnet,rgb,constant_30ep_1e-3,30,0.001,none,8,0.2380020022392273,0.3053900003433227,0.4787091612815857,0.3972637951374054,0.3654927313327789,2,0.286299,0.235015,0.051284000000000024,0.2628599405288696,-0.02485793828964228,0.247501,-0.012485999999999997
efficientnet_b0,timm/efficientnet_b0,dynamic_earthnet,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.2395802438259124,0.3443562984466553,0.468451052904129,0.3920004963874817,0.3663956522941589,2,0.274481,0.240055,0.034425999999999984,0.2628599405288696,-0.02327969670295718,0.247501,-0.007446000000000008
efficientnet_b0,timm/efficientnet_b0,dynamic_earthnet,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.2513645589351654,0.3602351248264313,0.4745687842369079,0.3992755115032196,0.3828249871730804,2,0.287068,0.247251,0.03981699999999999,0.2628599405288696,-0.011495381593704168,0.247501,-0.0002500000000000002
efficientnet_b0,timm/efficientnet_b0,pastis,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.0745224952697753,0.3055358231067657,0.1425996720790863,0.1163846105337143,0.1157540082931518,9,0.08498,0.074593,0.010386999999999993,0.0745224952697753,0.0,0.074593,0.0
efficientnet_b0,timm/efficientnet_b0,pastis,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.0842430666089057,0.3225586116313934,0.1548915207386016,0.1299401670694351,0.1306338161230087,26,0.095596,0.083924,0.011672000000000002,0.0745224952697753,0.009720571339130402,0.074593,0.009330999999999992
efficientnet_b0,timm/efficientnet_b0,pastis,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.0872322022914886,0.3232311010360718,0.1551269739866256,0.1386678665876388,0.1353776454925537,26,0.096658,0.086909,0.009748999999999994,0.0745224952697753,0.012709707021713312,0.074593,0.012315999999999994
efficientnet_b0,timm/efficientnet_b0,pastis,rgb,constant_30ep_1e-3,30,0.001,none,8,0.0870544016361236,0.3231707513332367,0.1409646421670913,0.1426719427108764,0.1346875727176666,29,0.095956,0.086044,0.009912000000000004,0.0745224952697753,0.012531906366348308,0.074593,0.011450999999999989
efficientnet_b0,timm/efficientnet_b0,pastis,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.0803131684660911,0.3158532977104187,0.1373219341039657,0.1251554787158966,0.1242202892899513,29,0.090692,0.079591,0.011101,0.0745224952697753,0.005790673196315807,0.074593,0.0049979999999999886
efficientnet_b0,timm/efficientnet_b0,pastis,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.090642549097538,0.3306557238101959,0.1577782332897186,0.1473995149135589,0.1401857435703277,29,0.097699,0.09088,0.006818999999999992,0.0745224952697753,0.0161200538277627,0.074593,0.016286999999999996
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,burn_scars,all,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.8607030510902405,0.9286675453186036,0.9406017065048218,0.9005295038223267,0.9195092916488647,10,0.847149,0.847149,0.0,0.8607030510902405,0.0,0.847149,0.0
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,burn_scars,all,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.8695487976074219,0.9318646788597108,0.9482219219207764,0.9043054580688475,0.92473167181015,28,0.857975,0.855015,0.0029600000000000737,0.8607030510902405,0.008845746517181396,0.847149,0.007865999999999929
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,burn_scars,all,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.8775541186332703,0.9356405735015868,0.9486385583877563,0.913243293762207,0.9299643039703368,28,0.861377,0.859562,0.0018149999999999,0.8607030510902405,0.016851067543029785,0.847149,0.012413000000000007
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,burn_scars,all,constant_30ep_1e-3,30,0.001,none,8,0.8648473024368286,0.9281409978866576,0.9493378400802612,0.8974992036819458,0.9209773540496826,24,0.861523,0.855428,0.006095000000000073,0.8607030510902405,0.004144251346588135,0.847149,0.008278999999999925
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,burn_scars,all,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.8679375648498535,0.9331903457641602,0.943510890007019,0.9071820974349976,0.9245767593383788,27,0.858024,0.856809,0.001214999999999966,0.8607030510902405,0.007234513759613037,0.847149,0.009660000000000002
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,burn_scars,all,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.8771299123764038,0.935329258441925,0.9536452889442444,0.9088006019592284,0.9294668436050416,32,0.866714,0.860668,0.006045999999999996,0.8607030510902405,0.01642686128616333,0.847149,0.013518999999999948
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,cloudsen12,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.6553046703338623,0.7716450691223145,0.7970222234725952,0.7618957757949829,0.777355432510376,10,0.677532,0.677532,0.0,0.6553046703338623,0.0,0.677532,0.0
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,cloudsen12,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.6515843868255615,0.7704165577888489,0.7950265407562256,0.7569486498832703,0.7736930847167969,21,0.672905,0.671885,0.0010200000000000209,0.6553046703338623,-0.0037202835083007812,0.677532,-0.005647000000000069
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,cloudsen12,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.6492938995361328,0.7684372067451477,0.7896350026130676,0.7574673891067505,0.771855354309082,12,0.674845,0.669595,0.005249999999999977,0.6553046703338623,-0.006010770797729492,0.677532,-0.007936999999999972
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,cloudsen12,rgb,constant_30ep_1e-3,30,0.001,none,8,0.6347711682319641,0.7597257494926453,0.7824877500534058,0.7421181201934814,0.7593039870262146,12,0.673419,0.656006,0.017413000000000012,0.6553046703338623,-0.020533502101898193,0.677532,-0.021526000000000045
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,cloudsen12,rgb,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.6485142111778259,0.7675800323486328,0.7867414951324463,0.7584505081176758,0.7712136507034302,12,0.674297,0.667523,0.006774000000000058,0.6553046703338623,-0.006790459156036377,0.677532,-0.010009000000000046
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,cloudsen12,rgb,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.6420525312423706,0.7639473676681519,0.7874726057052612,0.7484435439109802,0.7655209898948669,12,0.673948,0.659028,0.014920000000000044,0.6553046703338623,-0.0132521390914917,0.677532,-0.018504000000000076
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,dynamic_earthnet,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.2933880686759949,0.4299053251743316,0.5223040580749512,0.3956685364246368,0.4232885837554931,9,0.308303,0.306252,0.0020509999999999695,0.2933880686759949,0.0,0.306252,0.0
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,dynamic_earthnet,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.2674767971038818,0.4256777167320251,0.5076950788497925,0.3689551949501037,0.3860819339752197,5,0.309204,0.295324,0.013880000000000003,0.2933880686759949,-0.025911271572113093,0.306252,-0.010928000000000049
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,dynamic_earthnet,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.2790582478046417,0.4255903959274292,0.5170655250549316,0.3817214369773865,0.4041639566421509,9,0.315064,0.3001,0.014964000000000033,0.2933880686759949,-0.01432982087135315,0.306252,-0.006152000000000046
maxvit_tiny_tf_224,timm/maxvit_tiny_tf_224,dynamic_earthnet,rgb,constant_30ep_1e-3,30,0.001,none,8,0.3169213533401489,0.4384561777114868,0.505355954170227,0.4302707016468048,0.452258825302124,29,0.311182,0.275601,0.03558100000000003,0.2933880686759949,0.023533284664154053,0.306252,-0.03065100000000004
